Fayl      : dataset/AnnualCrop/AnnualCrop_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000025           bm3d        -
      B2           n/a    0.000629           bm3d        -
      B3           n/a    0.000583           bm3d        -
      B4           n/a    0.000750           bm3d        -
      B5           n/a    0.000030           bm3d        -
      B6           n/a    0.000030           bm3d        -
      B7           n/a    0.000030           bm3d        -
      B8           n/a    0.001075           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000008           bm3d        -
     B10           n/a    0.000030           bm3d        -
     B11           n/a    0.000027           bm3d        -
     B12           n/a    0.000030           bm3d        -
