Fayl      : dataset/SeaLake/Bombay_000000.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000017           bm3d        -
      B2           n/a    0.000584           bm3d        -
      B3           n/a    0.000783           bm3d        -
      B4           n/a    0.001308           bm3d        -
      B5           n/a    0.000029           bm3d        -
      B6           n/a    0.000034           bm3d        -
      B7           n/a    0.000038           bm3d        -
      B8           n/a    0.002047           bm3d        -
     B8A           n/a    0.000039           bm3d        -
      B9           n/a    0.000016           bm3d        -
     B10           n/a    0.000004           bm3d        -
     B11           n/a    0.000031           bm3d        -
     B12           n/a    0.000032           bm3d        -
