Fayl      : dataset/Forest/Forest_3.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000022           bm3d        -
      B2           n/a    0.000573           bm3d        -
      B3           n/a    0.000907           bm3d        -
      B4           n/a    0.000572           bm3d        -
      B5           n/a    0.000031           bm3d        -
      B6           n/a    0.000046           bm3d        -
      B7           n/a    0.000051           bm3d        -
      B8           n/a    0.007348           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000008           bm3d        -
     B10           n/a    0.000033           bm3d        -
     B11           n/a    0.000029           bm3d        -
     B12           n/a    0.000054           bm3d        -
