Fayl      : dataset/HerbaceousVegetation/HerbaceousVegetation_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000025           bm3d        -
      B2           n/a    0.001930           bm3d        -
      B3           n/a    0.002424           bm3d        -
      B4           n/a    0.003220           bm3d        -
      B5           n/a    0.000039           bm3d        -
      B6           n/a    0.000040           bm3d        -
      B7           n/a    0.000042           bm3d        -
      B8           n/a    0.003298           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000015           bm3d        -
     B10           n/a    0.000034           bm3d        -
     B11           n/a    0.000036           bm3d        -
     B12           n/a    0.000038           bm3d        -
