Fayl      : dataset/Highway/Highway_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000027           bm3d        -
      B2           n/a    0.002054           bm3d        -
      B3           n/a    0.002585           bm3d        -
      B4           n/a    0.004059           bm3d        -
      B5           n/a    0.000040           bm3d        -
      B6           n/a    0.000043           bm3d        -
      B7           n/a    0.000046           bm3d        -
      B8           n/a    0.005928           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000009           bm3d        -
     B10           n/a    0.000041           bm3d        -
     B11           n/a    0.000040           bm3d        -
     B12           n/a    0.000045           bm3d        -
