Fayl      : dataset/Industrial/Industrial_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000027           bm3d        -
      B2           n/a    0.003936           bm3d        -
      B3           n/a    0.004255           bm3d        -
      B4           n/a    0.004923           bm3d        -
      B5           n/a    0.000063           bm3d        -
      B6           n/a    0.000070           bm3d        -
      B7           n/a    0.000085           bm3d        -
      B8           n/a    0.007832           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000009           bm3d        -
     B10           n/a    0.000050           bm3d        -
     B11           n/a    0.000047           bm3d        -
     B12           n/a    0.000086           bm3d        -
