Fayl      : dataset/PermanentCrop/PermanentCrop_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000026           bm3d        -
      B2           n/a    0.000993           bm3d        -
      B3           n/a    0.001130           bm3d        -
      B4           n/a    0.001983           bm3d        -
      B5           n/a    0.000038           bm3d        -
      B6           n/a    0.000043           bm3d        -
      B7           n/a    0.000047           bm3d        -
      B8           n/a    0.002458           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000009           bm3d        -
     B10           n/a    0.000037           bm3d        -
     B11           n/a    0.000038           bm3d        -
     B12           n/a    0.000042           bm3d        -
