Fayl      : dataset/Residential/Residential_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000028           bm3d        -
      B2           n/a    0.005185           bm3d        -
      B3           n/a    0.005836           bm3d        -
      B4           n/a    0.007589           bm3d        -
      B5           n/a    0.000041           bm3d        -
      B6           n/a    0.000044           bm3d        -
      B7           n/a    0.000048           bm3d        -
      B8           n/a    0.011494           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000014           bm3d        -
     B10           n/a    0.000039           bm3d        -
     B11           n/a    0.000039           bm3d        -
     B12           n/a    0.000046           bm3d        -
