Fayl      : dataset/River/River_3.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000027           bm3d        -
      B2           n/a    0.001184           bm3d        -
      B3           n/a    0.001270           bm3d        -
      B4           n/a    0.001437           bm3d        -
      B5           n/a    0.000030           bm3d        -
      B6           n/a    0.000036           bm3d        -
      B7           n/a    0.000037           bm3d        -
      B8           n/a    0.003339           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000015           bm3d        -
     B10           n/a    0.000030           bm3d        -
     B11           n/a    0.000031           bm3d        -
     B12           n/a    0.000037           bm3d        -
