distortion,actual_psnr,cnn_predicted,brisque_predicted,cnn_error,brisque_error
Gaussian_s002,34.09,37.96,52.85,3.88,18.77
Gaussian_s002,34.17,40.58,50.01,6.41,15.84
Gaussian_s002,34.15,38.67,53.14,4.52,18.99
Gaussian_s002,34.13,40.41,52.62,6.29,18.49
Gaussian_s002,34.1,38.23,50.81,4.13,16.71
Gaussian_s002,34.17,42.08,52.41,7.91,18.24
Gaussian_s002,34.09,39.51,52.45,5.42,18.36
Gaussian_s002,34.08,37.14,53.65,3.07,19.58
Gaussian_s002,34.1,39.26,49.79,5.16,15.69
Gaussian_s002,34.05,41.69,55.06,7.64,21.01
Gaussian_s002,34.11,45.7,52.76,11.6,18.65
Gaussian_s002,34.06,40.9,53.95,6.84,19.89
Gaussian_s002,34.13,38.1,50.4,3.98,16.27
Gaussian_s002,34.1,42.32,52.97,8.22,18.87
Gaussian_s002,34.1,43.94,53.48,9.84,19.37
Gaussian_s002,34.07,43.72,50.33,9.66,16.26
Gaussian_s002,34.18,44.17,53.94,9.99,19.76
Gaussian_s002,34.17,43.51,51.6,9.34,17.43
Gaussian_s002,34.09,34.39,51.28,0.3,17.19
Gaussian_s002,34.16,38.31,52.09,4.15,17.93
Gaussian_s002,34.11,36.0,51.51,1.89,17.4
Gaussian_s002,34.09,39.67,53.89,5.58,19.8
Gaussian_s002,33.99,43.42,53.33,9.43,19.33
Gaussian_s002,34.09,42.79,53.65,8.71,19.57
Gaussian_s002,33.96,36.85,52.77,2.9,18.81
Gaussian_s002,34.01,41.01,50.91,7.0,16.9
Gaussian_s002,34.07,38.11,52.3,4.04,18.23
Gaussian_s002,34.07,44.1,53.68,10.03,19.61
Gaussian_s002,34.14,47.49,51.3,13.35,17.16
Gaussian_s002,34.08,39.62,53.52,5.54,19.44
Gaussian_s002,34.12,43.13,53.61,9.01,19.49
Gaussian_s002,34.11,40.55,49.12,6.44,15.01
Gaussian_s002,34.06,38.83,54.82,4.77,20.75
Gaussian_s002,34.09,34.96,52.45,0.88,18.36
Gaussian_s002,34.18,34.71,49.75,0.53,15.57
Gaussian_s002,34.06,40.84,54.04,6.78,19.99
Gaussian_s002,34.13,44.52,54.05,10.39,19.92
Gaussian_s002,34.08,33.43,51.64,0.65,17.55
Gaussian_s002,34.09,43.86,51.82,9.77,17.72
Gaussian_s002,34.08,40.07,53.96,5.99,19.89
Gaussian_s002,34.06,39.07,50.14,5.01,16.08
Gaussian_s002,34.1,43.43,52.41,9.33,18.31
Gaussian_s002,34.08,41.96,51.05,7.88,16.97
Gaussian_s002,34.04,39.4,51.38,5.36,17.35
Gaussian_s002,34.1,40.54,54.1,6.44,20.0
Gaussian_s002,34.11,39.07,54.14,4.97,20.03
Gaussian_s002,34.11,44.02,53.13,9.9,19.02
Gaussian_s002,34.11,30.19,53.08,3.92,18.96
Gaussian_s002,34.1,41.35,52.18,7.26,18.08
Gaussian_s002,34.16,33.38,52.98,0.78,18.82
Gaussian_s002,34.08,39.51,48.49,5.43,14.41
